Hospital Code,Hospital Name,Hospital Province,month,period,sales,sentiment_type
HO00002002,浙江大学医学院附属第一医院,浙江,24AP1,1,154716.0,2
HO00002002,浙江大学医学院附属第一医院,浙江,24AP2,2,222791.04,2
HO00002002,浙江大学医学院附属第一医院,浙江,24AP3,3,259922.88,2
HO00002002,浙江大学医学院附属第一医院,浙江,24AP4,4,222791.04,2
HO00002002,浙江大学医学院附属第一医院,浙江,24AP5,5,148527.36,2
HO00002002,浙江大学医学院附属第一医院,浙江,24AP6,6,0.0,2
HO00002002,浙江大学医学院附属第一医院,浙江,24AP7,7,74263.68,3
HO00002002,浙江大学医学院附属第一医院,浙江,24AP8,8,74263.68,3
HO00002002,浙江大学医学院附属第一医院,浙江,24AP9,9,222275.32,3
HO00002002,浙江大学医学院附属第一医院,浙江,24AP10,10,297054.72,3
HO00002002,浙江大学医学院附属第一医院,浙江,24AP12,11,74263.68,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP1,12,111395.52,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP2,13,74263.68,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP3,14,156778.88,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP4,15,123772.8,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP5,16,226401.08,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP6,17,-515.72,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP7,18,148527.36,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP8,19,74263.68,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP9,20,127898.56,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP10,21,148527.36,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP11,22,74263.68,3
HO00002002,浙江大学医学院附属第一医院,浙江,25AP12,23,148527.36,3
HO00002002,浙江大学医学院附属第一医院,浙江,26AP1,24,148527.36,3
HO00002002,浙江大学医学院附属第一医院,浙江,26AP2,25,148527.36,3
HO00002002,浙江大学医学院附属第一医院,浙江,26AP3,26,74263.68,3
HO00002002,浙江大学医学院附属第一医院,浙江,26AP4,27,223306.76,1
HO00002002,浙江大学医学院附属第一医院,浙江,26AP5,28,74263.68,2
HO00002002,浙江大学医学院附属第一医院,浙江,26AP6,29,0.0,2
HO00002002,浙江大学医学院附属第一医院,浙江,26AP7,30,,2
HO00002002,浙江大学医学院附属第一医院,浙江,26AP8,31,,2
HO00002002,浙江大学医学院附属第一医院,浙江,26AP9,32,,2
HO00002002,浙江大学医学院附属第一医院,浙江,26AP10,33,,2
HO00002002,浙江大学医学院附属第一医院,浙江,26AP11,34,,2
HO00002002,浙江大学医学院附属第一医院,浙江,26AP12,35,,2
HO00001403,山东第一医科大学第一附属医院,山东,24AP1,1,185659.2,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP2,2,0.0,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP3,3,185659.2,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP4,4,37131.84,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP5,5,297054.72,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP6,6,37131.84,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP7,7,222791.04,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP8,8,74263.68,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP9,9,0.0,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP10,10,74263.68,3
HO00001403,山东第一医科大学第一附属医院,山东,24AP12,11,0.0,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP1,12,148527.36,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP2,13,482713.92,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP3,14,37131.84,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP4,15,371318.4,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP5,16,359972.56,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP6,17,0.0,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP7,18,0.0,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP8,19,74263.68,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP9,20,193910.72,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP10,21,222791.04,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP11,22,111395.52,3
HO00001403,山东第一医科大学第一附属医院,山东,25AP12,23,74263.68,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP1,24,371318.4,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP2,25,445582.08,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP3,26,0.0,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP4,27,185659.2,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP5,28,519845.76,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP6,29,0.0,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP7,30,,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP8,31,,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP9,32,,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP10,33,,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP11,34,,3
HO00001403,山东第一医科大学第一附属医院,山东,26AP12,35,,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP1,1,297054.72,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP2,2,408450.24,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP3,3,0.0,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP4,4,222791.04,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP5,5,727680.92,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP6,6,185659.2,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP7,7,334186.56,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP8,8,185659.2,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP9,9,837529.28,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP10,10,111395.52,3
HO00068300,河北燕达陆道培医院有限公司,河北,24AP12,11,259922.88,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP1,12,705504.96,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP2,13,111395.52,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP3,14,334186.56,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP4,15,371318.4,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP5,16,779768.64,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP6,17,0.0,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP7,18,568323.44,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP8,19,668373.12,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP9,20,0.0,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP10,21,482713.92,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP11,22,705504.96,3
HO00068300,河北燕达陆道培医院有限公司,河北,25AP12,23,445582.08,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP1,24,816900.48,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP2,25,780284.36,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP3,26,1002559.68,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP4,27,519845.76,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP5,28,445582.08,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP6,29,631241.28,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP7,30,,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP8,31,,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP9,32,,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP10,33,,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP11,34,,3
HO00068300,河北燕达陆道培医院有限公司,河北,26AP12,35,,3
HO00393048,浙江省人民医院越城院区,浙江,24AP1,1,20628.8,3
HO00393048,浙江省人民医院越城院区,浙江,24AP2,2,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP3,3,25786.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP4,4,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP5,5,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP6,6,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP7,7,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP8,8,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP9,9,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP10,10,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,24AP12,11,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,25AP1,12,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,25AP2,13,10314.4,3
HO00393048,浙江省人民医院越城院区,浙江,25AP3,14,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,25AP4,15,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,25AP5,16,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,25AP6,17,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,25AP7,18,10314.4,3
HO00393048,浙江省人民医院越城院区,浙江,25AP8,19,15471.6,3
HO00393048,浙江省人民医院越城院区,浙江,25AP9,20,10314.4,3
HO00393048,浙江省人民医院越城院区,浙江,25AP10,21,15471.6,3
HO00393048,浙江省人民医院越城院区,浙江,25AP11,22,10314.4,3
HO00393048,浙江省人民医院越城院区,浙江,25AP12,23,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,26AP1,24,13408.72,3
HO00393048,浙江省人民医院越城院区,浙江,26AP2,25,0.0,3
HO00393048,浙江省人民医院越城院区,浙江,26AP3,26,20628.8,3
HO00393048,浙江省人民医院越城院区,浙江,26AP4,27,10314.4,3
HO00393048,浙江省人民医院越城院区,浙江,26AP5,28,20628.8,2
HO00393048,浙江省人民医院越城院区,浙江,26AP6,29,0.0,2
HO00393048,浙江省人民医院越城院区,浙江,26AP7,30,,2
HO00393048,浙江省人民医院越城院区,浙江,26AP8,31,,2
HO00393048,浙江省人民医院越城院区,浙江,26AP9,32,,2
HO00393048,浙江省人民医院越城院区,浙江,26AP10,33,,2
HO00393048,浙江省人民医院越城院区,浙江,26AP11,34,,2
HO00393048,浙江省人民医院越城院区,浙江,26AP12,35,,2
HO00001565,复旦大学附属华山医院,上海,24AP1,1,57760.64,3
HO00001565,复旦大学附属华山医院,上海,24AP2,2,74263.68,2
HO00001565,复旦大学附属华山医院,上海,24AP3,3,0.0,2
HO00001565,复旦大学附属华山医院,上海,24AP4,4,37131.84,2
HO00001565,复旦大学附属华山医院,上海,24AP5,5,0.0,2
HO00001565,复旦大学附属华山医院,上海,24AP6,6,0.0,2
HO00001565,复旦大学附属华山医院,上海,24AP7,7,74263.68,2
HO00001565,复旦大学附属华山医院,上海,24AP8,8,0.0,1
HO00001565,复旦大学附属华山医院,上海,24AP9,9,0.0,1
HO00001565,复旦大学附属华山医院,上海,24AP10,10,74263.68,1
HO00001565,复旦大学附属华山医院,上海,24AP12,11,185659.2,2
HO00001565,复旦大学附属华山医院,上海,25AP1,12,111395.52,2
HO00001565,复旦大学附属华山医院,上海,25AP2,13,0.0,1
HO00001565,复旦大学附属华山医院,上海,25AP3,14,0.0,1
HO00001565,复旦大学附属华山医院,上海,25AP4,15,0.0,1
HO00001565,复旦大学附属华山医院,上海,25AP5,16,74263.68,1
HO00001565,复旦大学附属华山医院,上海,25AP6,17,0.0,1
HO00001565,复旦大学附属华山医院,上海,25AP7,18,0.0,1
HO00001565,复旦大学附属华山医院,上海,25AP8,19,37131.84,1
HO00001565,复旦大学附属华山医院,上海,25AP9,20,37131.84,1
HO00001565,复旦大学附属华山医院,上海,25AP10,21,3094.32,1
HO00001565,复旦大学附属华山医院,上海,25AP11,22,121709.92,1
HO00001565,复旦大学附属华山医院,上海,25AP12,23,148527.36,1
HO00001565,复旦大学附属华山医院,上海,26AP1,24,0.0,1
HO00001565,复旦大学附属华山医院,上海,26AP2,25,37131.84,3
HO00001565,复旦大学附属华山医院,上海,26AP3,26,148527.36,3
HO00001565,复旦大学附属华山医院,上海,26AP4,27,37131.84,3
HO00001565,复旦大学附属华山医院,上海,26AP5,28,37131.84,3
HO00001565,复旦大学附属华山医院,上海,26AP6,29,0.0,1
HO00001565,复旦大学附属华山医院,上海,26AP7,30,,1
HO00001565,复旦大学附属华山医院,上海,26AP8,31,,1
HO00001565,复旦大学附属华山医院,上海,26AP9,32,,1
HO00001565,复旦大学附属华山医院,上海,26AP10,33,,1
HO00001565,复旦大学附属华山医院,上海,26AP11,34,,1
HO00001565,复旦大学附属华山医院,上海,26AP12,35,,1
HO00001596,上海市肺科医院,上海,24AP1,1,0.0,1
HO00001596,上海市肺科医院,上海,24AP2,2,53634.88,1
HO00001596,上海市肺科医院,上海,24AP3,3,0.0,1
HO00001596,上海市肺科医院,上海,24AP4,4,0.0,1
HO00001596,上海市肺科医院,上海,24AP5,5,49509.12,1
HO00001596,上海市肺科医院,上海,24AP6,6,5157.2,1
HO00001596,上海市肺科医院,上海,24AP7,7,45383.36,1
HO00001596,上海市肺科医院,上海,24AP8,8,20628.8,2
HO00001596,上海市肺科医院,上海,24AP9,9,10314.4,2
HO00001596,上海市肺科医院,上海,24AP10,10,25786.0,2
HO00001596,上海市肺科医院,上海,24AP12,11,30943.2,2
HO00001596,上海市肺科医院,上海,25AP1,12,92829.6,2
HO00001596,上海市肺科医院,上海,25AP2,13,41257.6,2
HO00001596,上海市肺科医院,上海,25AP3,14,15471.6,2
HO00001596,上海市肺科医院,上海,25AP4,15,15471.6,2
HO00001596,上海市肺科医院,上海,25AP5,16,20628.8,2
HO00001596,上海市肺科医院,上海,25AP6,17,15471.6,2
HO00001596,上海市肺科医院,上海,25AP7,18,25786.0,2
HO00001596,上海市肺科医院,上海,25AP8,19,3094.32,2
HO00001596,上海市肺科医院,上海,25AP9,20,5157.2,2
HO00001596,上海市肺科医院,上海,25AP10,21,20628.8,2
HO00001596,上海市肺科医院,上海,25AP11,22,36100.4,2
HO00001596,上海市肺科医院,上海,25AP12,23,25786.0,2
HO00001596,上海市肺科医院,上海,26AP1,24,20628.8,2
HO00001596,上海市肺科医院,上海,26AP2,25,36100.4,2
HO00001596,上海市肺科医院,上海,26AP3,26,25786.0,2
HO00001596,上海市肺科医院,上海,26AP4,27,15471.6,2
HO00001596,上海市肺科医院,上海,26AP5,28,41257.6,1
HO00001596,上海市肺科医院,上海,26AP6,29,51572.0,1
