Hospital Code,Hospital Name,Hospital Province,s25,s26,sent25,sent26,sales_trend,sent_trend,growth
HO00000001,安徽医科大学第一附属医院,安徽,56213.479999999996,60339.24,3.0,2.8333333333333335,上升,恶化,0.07339449541284408
HO00000002,安徽省胸科医院,安徽,88703.84,174313.36,3.0,2.6666666666666665,上升,恶化,0.9651162790697674
HO00000005,安徽省立医院,安徽,95923.92,0.0,2.0,2.3333333333333335,业务丢失,改善,-1.0
HO00000007,安徽省公共卫生临床中心,安徽,92829.6,61886.399999999994,1.0,2.5,下降,改善,-0.3333333333333334
HO00000034,中国人民解放军总医院第一医学中心,北京,222791.03999999998,408450.24,3.0,2.1666666666666665,上升,恶化,0.8333333333333335
HO00000038,301解放军总医院第八医学中心,北京,101596.84000000001,150590.24,3.0,2.1666666666666665,上升,恶化,0.4822335025380708
HO00000042,首都医科大学附属北京潞河医院,北京,206288.0,156778.88,3.0,3.0,下降,稳定,-0.24
HO00000047,北京大学第三医院,北京,148527.36,74263.68,2.0,2.1666666666666665,下降,改善,-0.5
HO00000050,中国中医科学院广安门医院,北京,42289.03999999999,0.0,2.0,2.0,业务丢失,稳定,-1.0
HO00000052,中国人民解放军火箭军特色医学中心,北京,2040704.04,1308897.36,3.0,3.0,下降,稳定,-0.35860500379075055
HO00000053,航天中心医院,北京,1299614.4,891164.1599999999,3.0,3.0,下降,稳定,-0.3142857142857143
HO00000054,北京华信医院,北京,92829.6,12893.0,3.0,2.1666666666666665,下降,恶化,-0.8611111111111112
HO00000055,中国人民解放军空军特色医学中心,北京,337280.88,710662.1599999999,3.0,1.1666666666666667,上升,恶化,1.1070336391437305
HO00000065,中国医学科学院阜外医院,北京,171734.75999999998,111395.51999999999,3.0,3.0,下降,稳定,-0.3513513513513513
HO00000066,中国人民解放军总医院第四医学中心,北京,222791.03999999998,0.0,3.0,2.1666666666666665,业务丢失,恶化,-1.0
HO00000071,首都医科大学附属北京同仁医院,北京,237746.92,928296.0,3.0,3.0,上升,稳定,2.904555314533622
HO00000072,首都医科大学附属复兴医院,北京,46414.8,56729.2,2.0,2.0,上升,稳定,0.22222222222222207
HO00000073,中国人民解放军总医院第六医学中心,北京,110364.08,51572.0,3.0,2.1666666666666665,下降,恶化,-0.5327102803738318
HO00000074,中国医学科学院北京协和医院,北京,121709.92,115521.28,3.0,1.8333333333333333,下降,恶化,-0.05084745762711864
HO00000078,首都医科大学附属北京佑安医院,北京,82515.2,97986.79999999999,3.0,3.0,上升,稳定,0.1874999999999999
HO00000079,中国人民解放军总医院第七医学中心,北京,214539.52,0.0,3.0,2.1666666666666665,业务丢失,恶化,-1.0
HO00000080,中日友好医院,北京,36100.4,0.0,1.3333333333333333,1.0,业务丢失,恶化,-1.0
HO00000093,北京医院,北京,108301.2,0.0,2.0,2.0,业务丢失,稳定,-1.0
HO00000094,首都医科大学附属北京天坛医院,北京,154716.0,282098.83999999997,3.0,3.0,上升,稳定,0.8233333333333331
HO00000102,北京大学人民医院,北京,228979.68,129445.72,2.0,2.0,下降,稳定,-0.4346846846846847
HO00000103,首都医科大学附属北京友谊医院,北京,400198.72,459506.52,1.8333333333333333,2.8333333333333335,上升,改善,0.14819587628865993
HO00000104,北京积水潭医院,北京,79420.88,70137.92,1.0,1.0,下降,稳定,-0.11688311688311696
HO00000107,应急总医院,北京,24754.56,15471.6,2.3333333333333335,3.0,下降,改善,-0.375
HO00000108,首都医科大学附属北京世纪坛医院,北京,603392.3999999999,624536.92,1.0,2.6666666666666665,平稳,改善,0.03504273504273527
HO00000110,首都医科大学附属首都儿童医学中心,北京,185143.47999999998,296539.0,3.0,2.6666666666666665,上升,恶化,0.6016713091922007
HO00000113,首都医科大学附属北京地坛医院,北京,41257.6,0.0,1.3333333333333333,3.0,业务丢失,改善,-1.0
HO00000114,首都医科大学附属北京安贞医院,北京,138728.68,15471.6,3.0,2.6666666666666665,下降,恶化,-0.8884758364312267
HO00000158,中国航天科工集团七三一医院,北京,146980.2,185659.2,2.8333333333333335,2.8333333333333335,上升,稳定,0.2631578947368421
HO00000168,北京中医药大学东方医院,北京,114489.84,15471.6,3.0,3.0,下降,稳定,-0.8648648648648648
HO00000255,北京朝阳医院京西院区,北京,813290.44,452286.44,3.0,3.0,下降,稳定,-0.4438807863031071
HO00000302,泉州市第一医院,福建,41257.6,0.0,1.0,1.3333333333333333,业务丢失,改善,-1.0
HO00000309,福建医科大学附属第二医院东海院区,福建,185659.19999999998,185659.19999999998,2.0,1.5,平稳,恶化,0.0
HO00000321,福建医科大学孟超肝胆医院,福建,61886.4,0.0,3.0,3.0,业务丢失,稳定,-1.0
HO00000346,厦门大学附属第一医院,福建,1846277.5999999999,1277438.44,3.0,1.6666666666666667,下降,恶化,-0.30810055865921787
HO00000348,中国人民解放军32251部队,福建,120678.48,188753.52,2.0,1.6666666666666667,上升,恶化,0.5641025641025641
HO00000353,厦门市第三医院,福建,74263.68,136150.08000000002,2.0,1.5,上升,恶化,0.8333333333333337
HO00000357,厦门医学院附属第二医院,福建,111395.51999999999,74263.68,3.0,2.0,下降,恶化,-0.3333333333333333
HO00000375,厦门市海沧医院,福建,325935.04,370286.95999999996,2.0,1.6666666666666667,上升,恶化,0.13607594936708856
HO00000376,中国人民解放军联勤保障部队第九〇九医院,福建,15471.6,297054.72,2.0,1.6666666666666667,上升,恶化,18.2
HO00000393,广州中医药大学第一附属医院,广东,188753.52000000002,68075.04000000001,3.0,1.8333333333333333,下降,恶化,-0.639344262295082
HO00000394,广州市第一人民医院,广东,494575.48,259922.87999999998,3.0,2.6666666666666665,下降,恶化,-0.4744525547445256
HO00000398,南方医科大学南方医院,广东,20628.8,12893.0,2.0,1.6666666666666667,下降,恶化,-0.375
HO00000399,广东省第二人民医院,广东,144401.6,0.0,2.0,2.8333333333333335,业务丢失,改善,-1.0
HO00000400,南方医科大学珠江医院,广东,1056710.28,1186156.0,2.3333333333333335,1.6666666666666667,上升,恶化,0.12249877989263053
HO00000404,广东省中医院,广东,206288.0,229495.4,2.0,1.6666666666666667,上升,恶化,0.11249999999999998
HO00000405,广州医科大学附属第二医院,广东,161936.08,37131.84,2.0,1.6666666666666667,下降,恶化,-0.7707006369426752
HO00000407,中国人民解放军南部战区总医院,广东,318714.95999999996,148527.36,3.0,3.0,下降,稳定,-0.5339805825242718
HO00000409,广州市番禺区妇幼保健院,广东,211445.19999999998,103144.0,2.0,2.0,下降,稳定,-0.5121951219512195
HO00000412,广州市妇女儿童医疗中心(儿童医院院区),广东,20628.8,30943.2,2.3333333333333335,3.0,上升,改善,0.5000000000000001
HO00000415,南方医科大学第三附属医院,广东,160904.63999999998,129961.44,1.0,1.0,下降,稳定,-0.1923076923076922
HO00000417,中山市人民医院,广东,206288.0,0.0,3.0,2.1666666666666665,业务丢失,恶化,-1.0
HO00000420,广州医科大学附属第一医院,广东,108301.20000000001,507468.48,2.0,2.0,上升,稳定,3.685714285714285
HO00000431,广州医科大学附属第五医院,广东,97986.8,146464.47999999998,2.0,2.0,上升,稳定,0.4947368421052629
HO00000444,佛山市第一人民医院,广东,104175.44,118099.88,2.0,2.0,上升,稳定,0.13366336633663367
HO00000447,江门市中心医院,广东,126867.12,326450.76,1.0,1.6666666666666667,上升,改善,1.5731707317073171
HO00000449,中山大学附属第六医院,广东,-22175.96,128930.0,3.0,1.8333333333333333,下降,恶化,
HO00000451,深圳市第三人民医院,广东,727680.92,774095.72,2.0,2.0,上升,稳定,0.06378454996456404
HO00000484,中山大学附属第五医院,广东,204225.12,0.0,3.0,2.1666666666666665,业务丢失,恶化,-1.0
HO00000502,南方医科大学顺德医院,广东,297054.72,0.0,3.0,2.1666666666666665,业务丢失,恶化,-1.0
HO00000522,中山大学附属第三医院,广东,110364.08,248061.31999999998,2.0,1.6666666666666667,上升,恶化,1.247663551401869
HO00000524,中山大学附属第一医院,广东,201130.8,51572.0,3.0,2.1666666666666665,下降,恶化,-0.7435897435897436
HO00000533,中山市中医院,广东,48993.4,45383.36,3.0,3.0,下降,稳定,-0.07368421052631581
HO00000537,东莞市第八人民医院,广东,371318.39999999997,395041.52,2.0,2.0,上升,稳定,0.06388888888888904
HO00000538,佛山市南海区中医院,广东,259922.88,73747.95999999999,2.0,2.0,下降,稳定,-0.7162698412698413
HO00000542,广东药科大学附属第一医院,广东,14440.16,0.0,1.0,1.0,业务丢失,稳定,-1.0
HO00000589,汕头市中心医院,广东,132024.32,36100.399999999994,2.0,2.0,下降,稳定,-0.7265625000000001
HO00000606,深圳市罗湖区人民医院,广东,30943.2,0.0,1.0,1.0,业务丢失,稳定,-1.0
HO00000608,深圳市第二人民医院,广东,110364.07999999999,25786.0,1.6666666666666667,2.0,下降,改善,-0.7663551401869159
HO00000609,深圳市人民医院,广东,35068.96,92829.6,2.0,2.0,上升,稳定,1.647058823529412
HO00000629,深圳市龙岗中心医院,广东,219181.0,155231.72,2.0,2.0,下降,稳定,-0.2917647058823529
HO00000631,北京大学深圳医院,广东,94892.47999999998,248577.03999999998,2.0,2.0,上升,稳定,1.6195652173913047
HO00000651,中国人民解放军联勤保障部队第九四〇医院,甘肃,10314.4,0.0,3.0,3.0,业务丢失,稳定,-1.0
HO00000656,兰州大学第二医院,甘肃,0.0,30943.199999999997,1.0,1.0,上升,稳定,
HO00000657,兰州大学第一医院,甘肃,403808.76,427016.16,2.1666666666666665,3.0,上升,改善,0.057471264367816
HO00000663,广西医科大学第一附属医院,广西,88703.84,39194.72,2.0,2.0,下降,稳定,-0.5581395348837209
HO00000665,广西壮族自治区人民医院,广西,195973.59999999998,141307.28,2.0,2.0,下降,稳定,-0.27894736842105256
HO00000712,河北医科大学第二医院,河北,429079.04000000004,309947.72,3.0,3.0,下降,稳定,-0.2776442307692309
HO00000725,石家庄市人民医院,河北,10314.4,20628.8,1.0,1.0,上升,稳定,1.0
HO00000731,邯郸市中心医院,河北,43836.200000000004,5672.92,1.0,1.0,下降,稳定,-0.8705882352941177
HO00000741,唐山市工人医院,河北,6188.64,0.0,1.0,1.0,业务丢失,稳定,-1.0
HO00000753,宜昌市中心人民医院,湖北,232074.0,77358.0,1.0,1.0,下降,稳定,-0.6666666666666666
HO00000755,武汉市中心医院,湖北,12377.28,253218.52000000002,1.0,1.0,上升,稳定,19.458333333333332
HO00000756,宜昌市中心人民医院西陵院区,湖北,93345.32,38679.0,1.0,1.0,下降,稳定,-0.5856353591160222
HO00000759,华中科技大学同济医学院附属协和医院,湖北,44867.64000000001,79936.6,3.0,1.6666666666666667,上升,恶化,0.7816091954022987
HO00000761,武汉大学中南医院,湖北,209898.04,174313.36000000002,2.0,2.0,下降,稳定,-0.1695331695331695
HO00000767,华中科技大学同济医学院附属同济医院,湖北,191847.84,121709.91999999998,3.0,3.0,下降,稳定,-0.36559139784946243
HO00000782,武汉亚心总医院有限公司,湖北,194942.15999999997,145433.04,3.0,2.1666666666666665,下降,恶化,-0.25396825396825384
HO00000795,国药东风总医院,湖北,334186.55999999994,297054.72,2.0,2.0,下降,稳定,-0.11111111111111104
HO00000806,哈尔滨医科大学附属第一医院,黑龙江,10830.12,0.0,1.0,1.0,业务丢失,稳定,-1.0
HO00000808,哈尔滨医科大学附属第二医院,黑龙江,0.0,8251.52,1.0,1.0,上升,稳定,
HO00000810,哈尔滨医科大学附属第四医院,黑龙江,0.0,8767.24,1.0,1.0,上升,稳定,
HO00000839,湖南省儿童医院,湖南,502827.0,257860.0,3.0,2.0,下降,恶化,-0.48717948717948717
HO00000842,中南大学湘雅三医院,湖南,495091.2,886522.6799999999,3.0,3.0,上升,稳定,0.7906249999999998
HO00000845,中南大学湘雅医院,湖南,27848.879999999997,0.0,3.0,3.0,业务丢失,稳定,-1.0
HO00000847,郴州市第一人民医院,湖南,220212.44,19597.36,2.0,2.0,下降,稳定,-0.9110070257611241
HO00000850,南华大学附属第二医院,湖南,0.0,28880.32,1.0,1.0,上升,稳定,
HO00000856,南华大学附属第一医院,湖南,64980.72,5157.2,1.0,1.0,下降,稳定,-0.9206349206349207
HO00000871,海南省人民医院龙华院区,海南,5157.2,515.72,2.0,2.0,下降,稳定,-0.8999999999999999
HO00000877,郑州大学第一附属医院(郑东院区),河南,439393.44,508499.92000000004,3.0,3.0,上升,稳定,0.1572769953051644
HO00000878,郑州市中心医院,河南,184627.75999999998,0.0,2.0,2.3333333333333335,业务丢失,改善,-1.0
HO00000879,郑州市第七人民医院,河南,434751.96,0.0,3.0,2.5,业务丢失,恶化,-1.0
HO00000880,河南科技大学第一附属医院,河南,211445.19999999998,148527.36,3.0,2.3333333333333335,下降,恶化,-0.2975609756097561
